artistName,resourceType,typeOfVideo,videoUrl,resourceId,title,description,commentCount,likeCount,dislikeCount,viewCount,channelId
'N Sync,video,studio,https://www.youtube.com/watch?v=GQMlWwIXg3M,GQMlWwIXg3M,'N Sync - It's Gonna Be Me (Official Video),Official music video for N Syncês _Itês Gonna Be Meê.  Click here to buy: http://smarturl.it/ItsGonnaBeMe Taken from the album _Essential N Sync. Click here to buy: http://smarturl.it/NSYNCEssential Follow N Sync on Spotify: http://smarturl.it/NSYNCSpotify  More from N Sync: Bye Bye Bye: https://www.youtube.com/watch?v=Eo-KmOd3i7s&list=UUsiSmzL5G7VS_pfKMXqmcjw Pop: https://www.youtube.com/watch?v=TWZKw_MgUPI&list=UUsiSmzL5G7VS_pfKMXqmcjw This I Promise You: https://www.youtube.com/watch?v=6thmPrTxBtI&list=UUsiSmzL5G7VS_pfKMXqmcjw  Follow N Sync: Website: http://www.nsync.com/ Facebook: https://www.facebook.com/nsync Twitter: @nsync Click here to subscribe: http://smarturl.it/FollowNSync  Lyrics: It's gonna--be--me Oh- yeah You might been hurt- babe That ain't no lie You've seen them all come and go- oh I remember you told me That it made you believe in No man- no cry Maybe that's why [Chorus] Every little thing I do Never seems enough for you You don't want to lose it again But I'm not like them Baby- when you finally Get to love somebody Guess what It's gonna be me You've got no choice- babe But to move on- and you know There ain't no time to waste So just you're just too blind- to see But in the end- ya know it's gonna be me You can't deny So just tell me why Every little thing I do Never seems enough for you You don't want to lose it again But I'm not like them Baby- when you finally Get to love somebody (somebody) Guess what (guess what) It's gonna be me It's gonna be me Oh yeah There comes a day When I'll be the one- you'll see It's gonna-gonna-gonna-gonna Justin: It's gonna be me All that I do is not enough for you I don't want to lose it But I'm not like that When finally (finally) You get to love Guess what? (guess what?) It's gonna be me Every little thing I do Never seems enough for you (for you babe) You don't want to lose it again (don't want to lose it) But I'm not like them Baby- when you finally Get to love somebody (love) Guess what (guess what) It's gonna be me Every little thing I do Never seems enough for you You don't want to lose it again (don't want to lose it) But I'm not like them Baby- when you finally (baby when you finally) Get to love somebody Guess what (guess what) It's gonna be me  Music video by N Sync performing It's Gonna Be Me. (C) 2000 Zomba Recording LLC,14793,64400,2187,25777217,null
'N Sync,video,live,https://www.youtube.com/watch?v=y8pLasQXc1E,y8pLasQXc1E,N Sync - Tearin Up My Heart  (Live  MTV TRL 1998.),Her is the hole vesion of Nsyncs performance  Tearin' Up My Hearton TRL,547,1328,55,580956,null
'Til Tuesday,video,studio,https://www.youtube.com/watch?v=wtOgwFzhlyw,ZP9DbEIm7ns,Til Tuesday - Coming Up Close,Music video by 'Til Tuesday performing Coming Up Close. (C) 1986 SONY BMG MUSIC ENTERTAINMENT,468,1416,19,405590,null
'Til Tuesday,video,live,https://www.youtube.com/watch?v=rCO-dzitHIE,rCO-dzitHIE,"Til Tuesday: ""Voices Carry"" LIVE 1985",Aimee Man and 'Til Tuesday with a solid performance at The Ritz in New York City- 1985.,255,744,12,153571,null
.38 Special,video,studio,https://www.youtube.com/watch?v=vJtf7R_oVaw,vJtf7R_oVaw,38 Special - Hold On Loosely,Music video by 38 Special performing Hold On Loosely. (C) 1981 A&M Records,1828,13347,295,3135636,null
.38 Special,video,live,https://www.youtube.com/watch?v=Q296T0L1IxU,Q296T0L1IxU,If I Been The One LIVE 38 Special,Live,125,258,2,87630,null
10CC,video,studio,https://www.youtube.com/watch?v=hldoswNToxg,hldoswNToxg,10cc ~ Dreadlock Holiday,From 1978,41,237,3,30367,null
10CC,video,live,https://www.youtube.com/watch?v=r-d5UXxOCE8,r-d5UXxOCE8,10CC Not in Love live at Bluesfest 2010,Amazing huh? I think it was my favorite song of the festival. browndog,231,917,34,249969,null
112,video,studio,https://www.youtube.com/watch?v=IihCzGUEPbs,IihCzGUEPbs,"112 - ""Its Over Now"" (Official Music Video)","Watch the official music video for 112 - ""Its Over Now""  - - - - Get 112 music: iTunes - http://bit.ly/1r2NY6G - - - -",14,83,1,11425,null
112,video,live,https://www.youtube.com/watch?v=8xLGyMjoc2o,8xLGyMjoc2o,Puff Daddy ft. Faith Evans & 112 - I'll Be Missing You live,,36,477,15,126457,null
