'Til Tuesday,official,https://www.youtube.com/watch?v=wtOgwFzhlyw,Til Tuesday - Coming Up Close
10CC,official,https://www.youtube.com/watch?v=hldoswNToxg,10cc ~ Dreadlock Holiday
1910 Fruitgum Company,official,https://www.youtube.com/watch?v=RjTcMEFhhQQ,1910 Fruitgum Company - Indian Giver (stereo)
2 Pistols,official,https://www.youtube.com/watch?v=r-cbtCX8G08,2 Pistols feat. Juicy J - Greedy (Official Video)
2Pac,official,https://www.youtube.com/watch?v=41qC3w3UUkU,2Pac - Hit 'Em Up (Dirty) (Official Video) HD
3LW,official,https://www.youtube.com/watch?v=drvS9w-lTMc,3LW - No More (Baby I'ma Do Right)
3t,official,https://www.youtube.com/watch?v=D86ye9nCBLM,3T - I Need You
5 Seconds Of Summer,official,https://www.youtube.com/watch?v=X2BYmmTI04I,5 Seconds Of Summer - She Looks So Perfect
5th Dimension,official,https://www.youtube.com/watch?v=kjxSCAalsBE,The 5th Dimension   Age of Aquarius 1969
702,official,https://www.youtube.com/watch?v=3lO5eGEnyRA,702 - Where My Girls At
95 South,official,https://www.youtube.com/watch?v=TjNPH9fc_Qw,95 South-Monkey Swang
A Flock Of Seagulls,official,https://www.youtube.com/watch?v=iIpfWORQWhU,A Flock Of Seagulls - I Ran
A Taste Of Honey,official,https://www.youtube.com/watch?v=nvIydHPhb98,A Taste of Honey - Boogie Oogie Oogie 1978
A'me Lorain,official,https://www.youtube.com/watch?v=6rktXEdp0hg,A'me Lorain - Whole Wide World (RELAID AUDIO)
AC/DC,official,https://www.youtube.com/watch?v=XYFdldfYEJk,ACDC  Thunderstruck  Official Music Video!
Aaliyah,official,https://www.youtube.com/watch?v=J9zc7f0jedM,Aaliyah - Are You That Somebody (Official) HD
Aaron Neville,official,https://www.youtube.com/watch?v=bKAJs8waYd4,AARON NEVILLE - Everybody Plays The Fool ( 1991 )
Ace Hood,official,https://www.youtube.com/watch?v=2mnFVHot3wM,Ace Hood - Have Mercy [Official Video]
Adam Ant,official,https://www.youtube.com/watch?v=3myAmL-9870,Adam Ant - Cool Zombie - Full Official Video
Adele,official,https://www.youtube.com/watch?v=jCya1yiFFP4,Adele - Someone like you (OFFICIAL VIDEO LYRICS) HD Live from Brit Awards 2011
Adriano Celentano,official,https://www.youtube.com/watch?v=WcJNkMAQcME,Adriano Celentano - Confessa - Official video (with lyrics/parole in descrizione)
Afrojack,official,https://www.youtube.com/watch?v=q6h0_9Zv7aM,Afrojack - Rock The House (Official Music Video)
Agnetha Faltskog,official,https://www.youtube.com/watch?v=w95WdpE6QAI,Agnetha F_ltskog - When You Really Loved Someone
Air Supply,official,https://www.youtube.com/watch?v=1qYH0R5o5vw,Air Supply - Here I Am (Just When I Thought I Was Over You)
Al B. Sure!,official,https://www.youtube.com/watch?v=2IlHq3n3hy0,Al B. Sure! | Night and Day | Music Video
Al Hibbler,official,https://www.youtube.com/watch?v=GC7obNtXLYU,AL HIBBLER - UNCHAINED MELODY
Al Jolson,official,https://www.youtube.com/watch?v=_P3gmiaf3kE,Al Jolson - Avalon (1920)
Al Morgan,official,https://www.youtube.com/watch?v=dzsQ8O6YQSM,Al Morgan - Jealous Heart - color video
Al Wilson,official,https://www.youtube.com/watch?v=9QovTXcGFbY,Al Wilson-Show & Tell
Alan O'Day,official,https://www.youtube.com/watch?v=G-xRMw0NyW0,Alan O'Day -1977- Undercover Angel
Alan Price Set,official,https://www.youtube.com/watch?v=k-DZ4D_zU-E,Alan Price Set - The house that Jack built 1967
Alannah Myles,official,https://www.youtube.com/watch?v=tT4d1LQy4es,Alannah Myles - Black Velvet
Alex Clare,official,https://www.youtube.com/watch?v=zYXjLbMZFmo,Alex Clare - Too Close (OFFICIAL VIDEO)
Alice Cooper,official,https://www.youtube.com/watch?v=XcAl93uEYUA,Alice Cooper - Hey Stoopid
Alicia Bridges,official,https://www.youtube.com/watch?v=umAurdHLNzU,Alicia Bridges - I Love The Nightlife (1978)
Alison Moyet,official,https://www.youtube.com/watch?v=FH8Y6nN7N1E,Alison Moyet - Only You (with lyrics)
All-American Rejects,official,https://www.youtube.com/watch?v=uxUATkpMQ8A,The All-American Rejects - Gives You Hell (Full Narrative Version)
Alphaville,official,https://www.youtube.com/watch?v=t1TcDHrkQYg,Alphaville - Forever Young ~Official Video
Amanda Lear,official,https://www.youtube.com/watch?v=X7V1lbjn8Qg,Amanda Lear - Follow me
Amen Corner,official,https://www.youtube.com/watch?v=yJwvKLHHurM,AMEN CORNER   Leviathan Destroyer (Official Video)
Amerie,official,https://www.youtube.com/watch?v=b9UU1YVr1sk,Amerie - Touch ft  T.I  OFFICIAL VIDEO
Amy Grant,official,https://www.youtube.com/watch?v=Rm5kx3xqmg0,Amy Grant - Better Than A Hallelujah (Official Music Video)
Anastacia,official,https://www.youtube.com/watch?v=tQL2Vub8xc0,Anastacia - Best Of You (OFFICIAL VIDEO)
Andrew Gold,official,https://www.youtube.com/watch?v=kBe-6EXBvaA,Andrew Gold - Lonely Boy (1977)
Andrê© van Duin,official,https://www.youtube.com/watch?v=1AXWJ6HxRn4,Andr_ Van Duin - Daar is ie weer
Andy Kim,official,https://www.youtube.com/watch?v=9ym3RlvVR9M,Andy Kim - Rock Me Gently
Animotion,official,https://www.youtube.com/watch?v=hIs5StN8J-0,Animotion - Obsession
Anita Meyer,official,https://www.youtube.com/watch?v=oTBUGSQg08A,Anita Meyer - Why Tell Me Why
Ann Wilson,official,https://www.youtube.com/watch?v=Yc40EasXz18,Almost Paradise  - Mike Reno & Ann Wilson
Annette,official,https://www.youtube.com/watch?v=TylGOJJJISI,Anette Olzon 'Lies' Official Music Video from the new album 'Shine' OUT MARCH 28th
Aphrodite's Child,official,https://www.youtube.com/watch?v=3KCbqhJt16k,Aphrodite's Child - The Four Horsemen (video)
April Stevens,official,https://www.youtube.com/watch?v=9o_Zr2p6Yxw,April Stevens - Do It Again
Archie Bell and The Drells,official,https://www.youtube.com/watch?v=H9mvRxzsZDg,Archie Bell and the Drells - Here I Go Again - Northern Soul Top 500 #21
Ariana Grande,official,https://www.youtube.com/watch?v=L8eRzOYhLuw,Ariana Grande - Break Free ft. Zedd
Arne Jansen,official,https://www.youtube.com/watch?v=Lf8aH0r1fyQ,Arne Jansen - Altijd Altijd
Arthur Conley,official,https://www.youtube.com/watch?v=k9pHx4BuiqU,Arthur Conley Hurt
Ashanti,official,https://www.youtube.com/watch?v=hjBCUeit1nY,Ashanti - Never Should Have (Official Lyric Video)
Ashford and Simpson,official,https://www.youtube.com/watch?v=2NEbe_brJAQ,Ashford And Simpson-Solid As A Rock
Asia,official,https://www.youtube.com/watch?v=3BnTSkqNG_o,Asia - Face On The Bridge (Official)
Atlantic Starr,official,https://www.youtube.com/watch?v=rxXPV144DOc,Atlantic Starr - Always (official music video)
Avicii,official,https://www.youtube.com/watch?v=IcrbM1l_BoI,Avicii- Aloe Blacc - Wake Me Up (Official Video)
B-52s,official,https://www.youtube.com/watch?v=9SOryJvTAGs,"The B-52's - ""Love Shack"" (Official Music Video)"
B.J. Thomas,official,https://www.youtube.com/watch?v=_gRZOvSVSps,"B.J. Thomas - ""I Just Can't Help Believing"""
B2K,official,https://www.youtube.com/watch?v=6OihwykYdBc,B2K - Girlfriend
BLACKstreet,official,https://www.youtube.com/watch?v=3KL9mRus19o,Blackstreet - No Diggity ft. Dr. Dre- Queen Pen
Baby Bash,official,https://www.youtube.com/watch?v=s-1S3JV6fDI,Baby Bash - Certified Freak ft. Baeza- G Curtis
Babyface,official,https://www.youtube.com/watch?v=k0Ngse52kvQ,Babyface - What If
Bachman Turner Overdrive,official,https://www.youtube.com/watch?v=7miRCLeFSJo,Bachman Turner Overdrive - You Aint Seen Nothing Yet
Bad Company,official,https://www.youtube.com/watch?v=A6Fr4K-rYQs,Bad  Company   --   Ready  For  Love [[  Official  Live  Video  ]]  HD
Bad Meets Evil,official,https://www.youtube.com/watch?v=YWt4wmZ_EMI,Bad Meets Evil - Lighters ft. Bruno Mars
Baltimora,official,https://www.youtube.com/watch?v=cJ6SDz4ZNec,BALTIMORA - Tarzan Boy [Official Video] HD
Band Aid,official,https://www.youtube.com/watch?v=Ylrd19Wq9Yo,Band Aid 1984 - Do They Know It's Christmas (Official Video 1984)
Bar-Kays,official,https://www.youtube.com/watch?v=S9FCYlGDAc4,The Bar-Kays - Freakshow On The Dance Floor
Barbara Lynn,official,https://www.youtube.com/watch?v=XXH_jh6PXkE,Barbara Lynn - Good Woman
Barbra Streisand,official,https://www.youtube.com/watch?v=uu_zwdmz0hE,Duck Sauce - Barbra Streisand (Official Music Video)
Barry Mann,official,https://www.youtube.com/watch?v=lXmsLe8t_gg,Who Put The Bomp - Barry Mann
Barry Ryan,official,https://www.youtube.com/watch?v=E9md5oW00q4,Barry Ryan - Eloise
Bastille,official,https://www.youtube.com/watch?v=fK3fVJtFTh0,BASTILLE // Overjoyed ( Official Video )
Bazuka,official,https://www.youtube.com/watch?v=eO9iB9Ju1Vg,BAZUKA - So Much Love (Official Video)
Beck,official,https://www.youtube.com/watch?v=EPfmNxKLDG4,Beck - Where It's At
Bee Gees,official,https://www.youtube.com/watch?v=oQwNN-0AgWc,Bee Gees - Stayin' Alive (Official Video)
Belinda Carlisle,official,https://www.youtube.com/watch?v=XmdtJWmR9zQ,Belinda Carlisle - Mad About You
Ben Cramer,official,https://www.youtube.com/watch?v=KcVvi85p1lU,Ben Cramer  The Clown (Hij was maar een clown)
Benny Mardones,official,https://www.youtube.com/watch?v=wyUUIUjdDRE,BENNY MARDONES - Into The Night
Bette Midler,official,https://www.youtube.com/watch?v=0iAzMRKFX3c,"Bette Midler - ""Wind Beneath My Wings"" (Official Music Video)"
Betty Wright,official,https://www.youtube.com/watch?v=NprgWAZQo-Q,betty wright - no pain no gain
